Name,Line,Treatment,Concentration,Day,boutd,sleepd,boutn,sleepn,wakeact,sleeplat,Sex
51_1_900,900,Chlorpromazine_Sonazine_,1,1,17,162,13,495,2.14559,73,Female
51_1_900,900,Chlorpromazine_Sonazine_,1,2,14,120,4,562,1.68865,98,Female
51_1_900,900,Chlorpromazine_Sonazine_,1,3,9,94,2,594,2.06516,36,Female
51_1_900,900,Chlorpromazine_Sonazine_,1,4,12,108,12,538,1.75441,6,Female
51_1_900,900,Chlorpromazine_Sonazine_,1,5,18,194,6,658,1.78231,55,Female
51_2_900,900,Chlorpromazine_Sonazine_,1,1,34,395,24,513,4.07519,5,Female
51_2_900,900,Chlorpromazine_Sonazine_,1,2,26,507,17,600,5.47147,0,Female
51_2_900,900,Chlorpromazine_Sonazine_,1,3,24,530,11,635,6.01818,11,Female
51_2_900,900,Chlorpromazine_Sonazine_,1,4,24,533,12,608,4.99331,13,Female
51_2_900,900,Chlorpromazine_Sonazine_,1,5,24,556,12,585,5.02676,19,Female
51_4_900,900,Chlorpromazine_Sonazine_,1,1,11,110,12,432,1.69822,28,Female
51_4_900,900,Chlorpromazine_Sonazine_,1,2,18,166,18,423,1.54524,56,Female
51_4_900,900,Chlorpromazine_Sonazine_,1,3,12,141,19,544,1.49536,11,Female
51_4_900,900,Chlorpromazine_Sonazine_,1,4,21,236,15,521,1.70425,14,Female
51_4_900,900,Chlorpromazine_Sonazine_,1,5,15,148,11,640,1.57975,8,Female
51_5_900,900,Chlorpromazine_Sonazine_,1,1,20,197,3,509,1.81608,49,Female
51_5_900,900,Chlorpromazine_Sonazine_,1,2,18,153,4,605,1.7346,34,Female
51_5_900,900,Chlorpromazine_Sonazine_,1,3,14,92,6,689,1.4431,16,Female
51_5_900,900,Chlorpromazine_Sonazine_,1,4,9,72,3,713,1.30992,5,Female
51_5_900,900,Chlorpromazine_Sonazine_,1,5,10,73,2,700,1.31634,19,Female
51_6_900,900,Chlorpromazine_Sonazine_,1,1,7,51,23,453,1.88462,5,Female
51_6_900,900,Chlorpromazine_Sonazine_,1,2,17,139,23,427,1.71053,26,Female
51_6_900,900,Chlorpromazine_Sonazine_,1,3,12,109,26,387,1.71292,21,Female
51_6_900,900,Chlorpromazine_Sonazine_,1,4,17,186,16,416,1.68735,6,Female
